date,cum_units
2018-11-30,374.59999999999985
2018-12-01,372.86999999999983
2018-12-02,364.85999999999984
2018-12-03,360.04999999999984
2018-12-04,359.70999999999987
2018-12-05,355.84999999999985
2018-12-07,361.8199999999999
2018-12-08,362.76999999999987
2018-12-09,373.8699999999999
2018-12-10,374.51999999999987
2018-12-11,371.51999999999987
2018-12-14,375.35999999999984
2018-12-15,380.36999999999983
2018-12-16,392.4599999999998
2018-12-17,396.2099999999998
2018-12-18,401.4699999999998
2018-12-19,400.1399999999998
2018-12-21,401.0799999999998
2018-12-22,401.9399999999998
2018-12-23,408.4399999999998
2018-12-24,406.4399999999998
2018-12-26,424.54999999999984
2018-12-27,422.92999999999984
2018-12-29,419.27999999999986
2018-12-30,414.6299999999999
2019-01-01,414.27999999999986
2019-01-02,412.59999999999985
2019-01-03,410.9499999999999
2019-01-04,411.09999999999985
2019-01-05,418.40999999999985
2019-01-06,441.90999999999985
2019-01-07,448.2599999999999
2019-01-08,449.45999999999987
2019-01-10,448.45999999999987
2019-01-11,447.45999999999987
2019-01-12,458.0699999999999
2019-01-13,454.20999999999987
2019-01-14,453.4299999999999
2019-01-15,453.9899999999999
2019-01-16,455.9999999999999
2019-01-18,453.9399999999999
2019-01-19,454.2899999999999
2019-01-20,462.3299999999999
2019-01-21,468.9699999999999
2019-01-22,466.9699999999999
2019-01-23,465.9699999999999
2019-01-25,465.4999999999999
2019-01-26,466.6999999999999
2019-01-27,474.5699999999999
2019-01-28,483.46999999999986
2019-01-29,489.45999999999987
2019-01-30,487.08999999999986
2019-01-31,489.23999999999984
2019-02-01,497.15999999999985
2019-02-02,482.34999999999985
2019-02-03,476.5099999999999
2019-02-04,480.78999999999985
2019-02-06,479.08999999999986
2019-02-07,479.45999999999987
2019-02-08,482.7499999999999
2019-02-09,493.2499999999999
2019-02-10,489.7999999999999
2019-02-11,494.6199999999999
2019-02-12,501.6999999999999
2019-02-13,505.08999999999986
2019-02-15,509.90999999999985
2019-02-16,505.11999999999983
2019-02-17,510.04999999999984
2019-02-18,506.54999999999984
2019-02-19,504.64999999999986
2019-02-20,507.72999999999985
2019-02-22,505.35999999999984
2019-02-23,486.02999999999986
2019-02-24,494.70999999999987
2019-02-25,493.0599999999999
2019-02-26,497.8499999999999
2019-02-27,489.1699999999999
2019-03-01,500.7499999999999
2019-03-02,501.95999999999987
2019-03-03,496.57999999999987
2019-03-04,501.08999999999986
2019-03-05,497.3099999999999
2019-03-08,497.5999999999999
2019-03-09,493.7499999999999
2019-03-10,497.6599999999999
2019-03-11,495.25999999999993
2019-03-12,495.73999999999995
2019-03-13,500.59
2019-03-15,502.40999999999997
2019-03-16,514.86
2019-03-17,517.19
2019-03-18,516.19
2019-03-19,516.7600000000001
2019-03-22,518.3100000000001
2019-03-23,515.96
2019-03-24,516.4200000000001
2019-03-26,523.98
2019-03-27,522.98
2019-03-29,530.46
2019-03-30,535.0500000000001
2019-03-31,529.73
2019-04-01,531.98
2019-04-02,539.5500000000001
2019-04-03,537.7500000000001
2019-04-04,538.9200000000001
2019-04-05,533.1300000000001
2019-04-06,543.5600000000001
2019-04-07,544.32
2019-04-08,544.07
2019-04-09,546.4200000000001
2019-04-10,547.4200000000001
2019-04-12,541.2
2019-04-13,551.74
2019-04-14,552.36
2019-04-15,551.53
2019-04-16,555.28
2019-04-17,559.42
2019-04-19,546.9399999999999
2019-04-20,548.0899999999999
2019-04-21,556.9399999999999
2019-04-22,549.15
2019-04-23,550.26
2019-04-24,551.76
2019-04-25,550.14
2019-04-26,548.89
2019-04-27,541.38
